"template","tags","dilution","its2_n","gi_n","sample"
"standard","P01-01-A","1/32","N3-N3","N8-N8","1"
"standard","P01-01-B","1/128","N3-N3","N8-N8","2"
"standard","P01-01-A","1/4","N5-N5","N7-N7","3"
"standard","P01-01-B","1/64","N5-N5","N7-N7","4"
"standard","P01-01-A","1/8","N6-N6","N6-N6","5"
"standard","P01-01-B","1/2","N6-N6","N6-N6","6"
"standard","P01-01-A","1","N4-N4","N9-N9","7"
"standard","P01-01-B","1/16","N4-N4","N9-N9","8"
"standard","P01-01-C","1/8","N4-N4","N9-N9","9"
"standard","P01-01-D","1","N4-N4","N9-N9","10"
"standard","P01-01-C","1/2","N5-N5","N7-N7","11"
"standard","P01-01-D","1/4","N5-N5","N7-N7","12"
"standard","P01-01-C","1/64","N6-N6","N8-N8","13"
"standard","P01-01-D","1/128","N6-N6","N8-N8","14"
"standard","P01-01-C","1/16","N3-N3","N6-N6","15"
"standard","P01-01-D","1/32","N3-N3","N6-N6","16"
"standard","P01-01-E","1/4","N5-N5","N8-N8","17"
"standard","P01-01-F","1/32","N5-N5","N8-N8","18"
"standard","P01-01-E","1/2","N4-N4","N6-N6","19"
"standard","P01-01-F","1","N4-N4","N6-N6","20"
"standard","P01-01-E","1/64","N6-N6","N9-N9","21"
"standard","P01-01-F","1/8","N6-N6","N9-N9","22"
"standard","P01-01-E","1/16","N3-N3","N7-N7","23"
"standard","P01-01-F","1/128","N3-N3","N7-N7","24"
"dfssmt","P01-01-G",NA,"N6-N6","N8-N8","25"
"dfssmt","P01-01-H",NA,"N6-N6","N8-N8","26"
"dfssmt","P01-01-G",NA,"N4-N4","N9-N9","27"
"dfssmt","P01-01-H",NA,"N4-N4","N9-N9","28"
"dfssmt","P01-01-G",NA,"N5-N5","N6-N6","29"
"dfssmt","P01-01-H",NA,"N5-N5","N6-N6","30"
"dfssmt","P01-01-G",NA,"N3-N3","N7-N7","31"
"dfssmt","P01-01-H",NA,"N3-N3","N7-N7","32"
"control","P01-02-A",NA,"N3-N3","N6-N6","33"
"control","P01-02-B",NA,"N4-N4","N7-N7","34"
"control","P01-02-C",NA,"N5-N5","N8-N8","35"
"control","P01-02-D",NA,"N6-N6","N9-N9","36"
"liston","P01-02-E",NA,NA,NA,"37"
"liston","P01-02-F",NA,NA,NA,"38"
"liston","P01-02-G",NA,NA,NA,"39"
"liston","P01-02-H",NA,NA,NA,"40"
"liston","P01-03-A",NA,NA,NA,"41"
"liston","P01-03-B",NA,NA,NA,"42"
